id,stateName,createdAt,updatedAt,countryId
1,"Puerto Rico","2022-07-19 11:53:03","2022-07-19 11:53:03",1
2,"South Carolina","2022-07-19 11:53:05","2022-07-19 11:53:05",1
3,Louisiana,"2022-07-19 11:53:07","2022-07-19 11:53:07",1
4,Virginia,"2022-07-19 11:53:09","2022-07-19 11:53:09",1
5,Idaho,"2022-07-19 11:53:11","2022-07-19 11:53:11",1
6,Missouri,"2022-07-19 11:53:13","2022-07-19 11:53:13",1
7,Kentucky,"2022-07-19 11:53:15","2022-07-19 11:53:15",1
8,Oklahoma,"2022-07-19 11:53:17","2022-07-19 11:53:17",1
9,Iowa,"2022-07-19 11:53:19","2022-07-19 11:53:19",1
10,Colorado,"2022-07-19 11:53:21","2022-07-19 11:53:21",1
11,Illinois,"2022-07-19 11:53:23","2022-07-19 11:53:23",1
12,Nebraska,"2022-07-19 11:53:26","2022-07-19 11:53:26",1
13,Mississippi,"2022-07-19 11:53:27","2022-07-19 11:53:27",1
14,Indiana,"2022-07-19 11:53:29","2022-07-19 11:53:29",1
15,Washington,"2022-07-19 11:53:31","2022-07-19 11:53:31",1
16,Pennsylvania,"2022-07-19 11:53:33","2022-07-19 11:53:33",1
17,Ohio,"2022-07-19 11:53:35","2022-07-19 11:53:35",1
18,Wisconsin,"2022-07-19 11:53:37","2022-07-19 11:53:37",1
19,"North Dakota","2022-07-19 11:53:39","2022-07-19 11:53:39",1
20,Vermont,"2022-07-19 11:53:41","2022-07-19 11:53:41",1
21,Minnesota,"2022-07-19 11:53:43","2022-07-19 11:53:43",1
22,Florida,"2022-07-19 11:53:45","2022-07-19 11:53:45",1
23,"North Carolina","2022-07-19 11:53:47","2022-07-19 11:53:47",1
24,California,"2022-07-19 11:53:49","2022-07-19 11:53:49",1
25,"New York","2022-07-19 11:53:51","2022-07-19 11:53:51",1
26,Wyoming,"2022-07-19 11:53:53","2022-07-19 11:53:53",1
27,Michigan,"2022-07-19 11:53:55","2022-07-19 11:53:55",1
28,Alaska,"2022-07-19 11:53:57","2022-07-19 11:53:57",1
29,Maryland,"2022-07-19 11:53:59","2022-07-19 11:53:59",1
30,Kansas,"2022-07-19 11:54:01","2022-07-19 11:54:01",1
31,Tennessee,"2022-07-19 11:54:03","2022-07-19 11:54:03",1
32,Texas,"2022-07-19 11:54:05","2022-07-19 11:54:05",1
33,Maine,"2022-07-19 11:54:07","2022-07-19 11:54:07",1
34,Arizona,"2022-07-19 11:54:09","2022-07-19 11:54:09",1
35,Georgia,"2022-07-19 11:54:11","2022-07-19 11:54:11",1
36,Arkansas,"2022-07-19 11:54:13","2022-07-19 11:54:13",1
37,"New Jersey","2022-07-19 11:54:16","2022-07-19 11:54:16",1
38,"South Dakota","2022-07-19 11:54:18","2022-07-19 11:54:18",1
39,Alabama,"2022-07-19 11:54:20","2022-07-19 11:54:20",1
40,Oregon,"2022-07-19 11:54:22","2022-07-19 11:54:22",1
41,"West Virginia","2022-07-19 11:54:24","2022-07-19 11:54:24",1
42,Massachusetts,"2022-07-19 11:54:26","2022-07-19 11:54:26",1
43,Utah,"2022-07-19 11:54:28","2022-07-19 11:54:28",1
44,Montana,"2022-07-19 11:54:30","2022-07-19 11:54:30",1
45,"New Hampshire","2022-07-19 11:54:32","2022-07-19 11:54:32",1
46,"New Mexico","2022-07-19 11:54:35","2022-07-19 11:54:35",1
47,Nevada,"2022-07-19 11:54:37","2022-07-19 11:54:37",1
48,"District of Columbia","2022-07-19 11:54:39","2022-07-19 11:54:39",1
49,Connecticut,"2022-07-19 11:54:41","2022-07-19 11:54:41",1
50,Hawaii,"2022-07-19 11:54:43","2022-07-19 11:54:43",1
51,Delaware,"2022-07-19 11:54:45","2022-07-19 11:54:45",1
52,"Rhode Island","2022-07-19 11:54:47","2022-07-19 11:54:47",1
